Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
SMC3	MXD1	psi-mi:"MI:0096"(pull down)	Gupta K (1998)	pubmed:9528857
KIFAP3	SMC3	psi-mi:"MI:0018"(two hybrid)	Shimizu K (1998)	pubmed:9506951
SMC3	KIFAP3	psi-mi:"MI:0096"(pull down)	Shimizu K (1998)	pubmed:9506951
SIPA1	BRD4	psi-mi:"MI:0096"(pull down)	Farina A (2004)	pubmed:15456879
SIPA1	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Farina A (2004)	pubmed:15456879
BRD4	SIPA1	psi-mi:"MI:0004"(affinity chromatography technology)	Farina A (2004)	pubmed:15456879
BRD4	MED12	psi-mi:"MI:0004"(affinity chromatography technology)	Jang MK (2005)	pubmed:16109376
BRD4	MED14	psi-mi:"MI:0004"(affinity chromatography technology)	Jang MK (2005)	pubmed:16109376
BRD4	MED24	psi-mi:"MI:0004"(affinity chromatography technology)	Jang MK (2005)	pubmed:16109376
BRD4	MED17	psi-mi:"MI:0004"(affinity chromatography technology)	Jang MK (2005)	pubmed:16109376
BRD4	CCNT1	psi-mi:"MI:0004"(affinity chromatography technology)	Jang MK (2005)	pubmed:16109376
BRD4	CDK9	psi-mi:"MI:0004"(affinity chromatography technology)	Jang MK (2005)	pubmed:16109376
CCNT1	BRD4	psi-mi:"MI:0096"(pull down)	Jang MK (2005)	pubmed:16109376
CDK9	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	He N (2006)	pubmed:16980611
BRD4	CCNT1	psi-mi:"MI:0004"(affinity chromatography technology)	Yang Z (2008)	pubmed:18039861
BRD4	CDK9	psi-mi:"MI:0004"(affinity chromatography technology)	Yang Z (2008)	pubmed:18039861
BRD4	HEXIM1	psi-mi:"MI:0004"(affinity chromatography technology)	Yang Z (2008)	pubmed:18039861
RAE1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Wong RW (2008)	pubmed:18832153
RAE1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Wong RW (2008)	pubmed:18832153
SMC1A	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Wong RW (2008)	pubmed:18832153
SMC1A	RAE1	psi-mi:"MI:0004"(affinity chromatography technology)	Wong RW (2008)	pubmed:18832153
USP13	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Sowa ME (2009)	pubmed:19615732
USP32	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Sowa ME (2009)	pubmed:19615732
USP13	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Sowa ME (2009)	pubmed:19615732
CDK9	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Jeronimo C (2007)	pubmed:17643375
ATM	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Mu JJ (2007)	pubmed:17478428
MLH1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Cannavo E (2007)	pubmed:17148452
PMS1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Cannavo E (2007)	pubmed:17148452
ATRX	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kernohan KD (2010)	pubmed:20159591
AIRE	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Abramson J (2010)	pubmed:20085707
AIRE	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Abramson J (2010)	pubmed:20085707
AIRE	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Abramson J (2010)	pubmed:20085707
RAD21	AIRE	psi-mi:"MI:0004"(affinity chromatography technology)	Abramson J (2010)	pubmed:20085707
SMC1A	AIRE	psi-mi:"MI:0004"(affinity chromatography technology)	Abramson J (2010)	pubmed:20085707
KDM5B	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Zhou W (2009)	pubmed:19336002
RAD21	SMC1A	psi-mi:"MI:0428"(imaging technique)	Austin C (2009)	pubmed:19308699
ATG2A	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859
ATG4C	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859
BECN1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859
BECN1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859
CAMKK2	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859
CAMKK2	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859
PRKAA2	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Behrends C (2010)	pubmed:20562859
RTN1	HDAC8	psi-mi:"MI:0055"(fluorescent resonance energy transfer)	Melino S (2009)	pubmed:19140693
HDAC8	PPP1CC	psi-mi:"MI:0004"(affinity chromatography technology)	Gao J (2009)	pubmed:19070599
APC	SMC3	psi-mi:"MI:0018"(two hybrid)	Bandyopadhyay S (2010)	pubmed:20936779
SMC3	WFDC5	psi-mi:"MI:0004"(affinity chromatography technology)	Bauerschmidt C (2010)	pubmed:19906707
SMC3	PDS5A	psi-mi:"MI:0004"(affinity chromatography technology)	Bauerschmidt C (2010)	pubmed:19906707
FEZ1	SMC3	psi-mi:"MI:0018"(two hybrid)	Assmann EM (2006)	pubmed:16484223
FEZ1	SMC3	psi-mi:"MI:0096"(pull down)	Assmann EM (2006)	pubmed:16484223
SRRM1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	McCracken S (2005)	pubmed:16159877
SRRM1	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	McCracken S (2005)	pubmed:16159877
