Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
AURKA	TCERG1	psi-mi:"MI:0096"(pull down)	Kamran M (2017)	pubmed:28218735
AURKA	HNRNPK	psi-mi:"MI:0096"(pull down)	Kamran M (2017)	pubmed:28218735
AURKA	TRRAP	psi-mi:"MI:0096"(pull down)	Kamran M (2017)	pubmed:28218735
AURKA	MED26	psi-mi:"MI:0096"(pull down)	Kamran M (2017)	pubmed:28218735
AURKA	GTF3C4	psi-mi:"MI:0096"(pull down)	Kamran M (2017)	pubmed:28218735
AURKA	HNRNPF	psi-mi:"MI:0096"(pull down)	Kamran M (2017)	pubmed:28218735
CHFR	SIRT1	psi-mi:"MI:0004"(affinity chromatography technology)	Kim M (2016)	pubmed:27883020
SIRT1	CHFR	psi-mi:"MI:0004"(affinity chromatography technology)	Kim M (2016)	pubmed:27883020
SIRT1	CHFR	psi-mi:"MI:0096"(pull down)	Kim M (2016)	pubmed:27883020
CHFR	SIRT1	psi-mi:"MI:0415"(enzymatic study)	Kim M (2016)	pubmed:27883020
USP13	ACLY	psi-mi:"MI:0004"(affinity chromatography technology)	Han C (2016)	pubmed:27892457
PARP1	HSPA1A	psi-mi:"MI:0004"(affinity chromatography technology)	Choi JR (2016)	pubmed:27787517
STUB1	PARP1	psi-mi:"MI:0004"(affinity chromatography technology)	Choi JR (2016)	pubmed:27787517
STUB1	HSPA1A	psi-mi:"MI:0004"(affinity chromatography technology)	Choi JR (2016)	pubmed:27787517
PARP1	STUB1	psi-mi:"MI:0004"(affinity chromatography technology)	Choi JR (2016)	pubmed:27787517
TRAIP	MAP3K7	psi-mi:"MI:0004"(affinity chromatography technology)	Kong QZ (2016)	pubmed:27847407
PTEN	WWP2	psi-mi:"MI:0004"(affinity chromatography technology)	Bawa-Khalfe T (2016)	pubmed:27852060
WWP2	PTEN	psi-mi:"MI:0004"(affinity chromatography technology)	Bawa-Khalfe T (2016)	pubmed:27852060
UBE2I	WWP2	psi-mi:"MI:0415"(enzymatic study)	Bawa-Khalfe T (2016)	pubmed:27852060
PTEN	WWP2	psi-mi:"MI:0096"(pull down)	Bawa-Khalfe T (2016)	pubmed:27852060
MAP3K7	TAB1	psi-mi:"MI:0004"(affinity chromatography technology)	Min Y (2016)	pubmed:27468689
USP15	SART3	psi-mi:"MI:0004"(affinity chromatography technology)	Das T (2017)	pubmed:28088760
SART3	USP15	psi-mi:"MI:0004"(affinity chromatography technology)	Das T (2017)	pubmed:28088760
USP15	SART3	psi-mi:"MI:0096"(pull down)	Das T (2017)	pubmed:28088760
RPL11	MDM2	psi-mi:"MI:0004"(affinity chromatography technology)	Kayama K (2017)	pubmed:27856536
MDM2	TP53	psi-mi:"MI:0415"(enzymatic study)	Kayama K (2017)	pubmed:27856536
USP15	PRPF31	psi-mi:"MI:0004"(affinity chromatography technology)	Das T (2017)	pubmed:28088760
USP15	PRPF31	psi-mi:"MI:0096"(pull down)	Das T (2017)	pubmed:28088760
SART3	PRPF31	psi-mi:"MI:0004"(affinity chromatography technology)	Das T (2017)	pubmed:28088760
SART3	USP15	psi-mi:"MI:0428"(imaging technique)	Das T (2017)	pubmed:28088760
PRPF8	PRPF31	psi-mi:"MI:0004"(affinity chromatography technology)	Das T (2017)	pubmed:28088760
CDC73	PAF1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	ANP32B	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CCT4	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CCT2	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PAICS	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	GNA13	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CCT8	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CFL1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	YWHAQ	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CLTC	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CSE1L	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	DSP	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	EEF1A1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	EEF1D	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	EEF1G	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	EEF2	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	EIF2S1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	EIF2S3	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	ENO1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	FKBP4	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CCT5	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	FLNA	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	FLNB	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	G6PD	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	GAPDH	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PHGDH	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	ANXA1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	ANXA2	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HADHA	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HNRNPF	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HNRNPK	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	DNAJA1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSPA5	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSPA8	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSPA9	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSPB1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSP90AA1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSP90AB1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSPD1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	TUBB8	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPSA	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	MTHFD1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	MYH9	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PRDX1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PCBP1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PKM	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PPA1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PRKDC	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PSMC2	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	PSMD2	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RAN	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RNH1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPL7	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPL11	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPL22	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPLP0	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPS3	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPS5	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPS10	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPS17	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RPS27A	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	TCP1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	TFRC	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	HSP90B1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CCT3	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	UBA52	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	VCP	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	YWHAE	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	YWHAZ	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CCT6A	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	CAND1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	UBA1	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RNF20	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
CDC73	RUVBL2	psi-mi:"MI:0004"(affinity chromatography technology)	Herr P (2015)	pubmed:27462432
NEDD4L	UBE2D2	psi-mi:"MI:0096"(pull down)	Nazio F (2016)	pubmed:27932573
HUWE1	KLF4	psi-mi:"MI:0415"(enzymatic study)	Hao Z (2017)	pubmed:28084302
HUWE1	KLF4	psi-mi:"MI:0004"(affinity chromatography technology)	Hao Z (2017)	pubmed:28084302
ANKRD28	BRCA1	psi-mi:"MI:0004"(affinity chromatography technology)	Vincent A (2016)	pubmed:27026398
BRCA1	ANKRD28	psi-mi:"MI:0004"(affinity chromatography technology)	Vincent A (2016)	pubmed:27026398
BRCA1	ANKRD28	psi-mi:"MI:0428"(imaging technique)	Vincent A (2016)	pubmed:27026398
BRCA1	ANKRD28	psi-mi:"MI:0096"(pull down)	Vincent A (2016)	pubmed:27026398
RNF126	XRCC5	psi-mi:"MI:0004"(affinity chromatography technology)	Ishida N (2017)	pubmed:27895153
RNF126	XRCC6	psi-mi:"MI:0004"(affinity chromatography technology)	Ishida N (2017)	pubmed:27895153
RNF126	XRCC6	psi-mi:"MI:0415"(enzymatic study)	Ishida N (2017)	pubmed:27895153
RNF126	XRCC5	psi-mi:"MI:0415"(enzymatic study)	Ishida N (2017)	pubmed:27895153
ATM	KDM2A	psi-mi:"MI:0004"(affinity chromatography technology)	Cao LL (2016)	pubmed:25823024
KDM2A	ATM	psi-mi:"MI:0004"(affinity chromatography technology)	Cao LL (2016)	pubmed:25823024
USP7	MYC	psi-mi:"MI:0004"(affinity chromatography technology)	Tavana O (2016)	pubmed:27618649
USP7	MYC	psi-mi:"MI:0096"(pull down)	Tavana O (2016)	pubmed:27618649
MYC	USP7	psi-mi:"MI:0096"(pull down)	Tavana O (2016)	pubmed:27618649
MYC	USP7	psi-mi:"MI:0004"(affinity chromatography technology)	Tavana O (2016)	pubmed:27618649
PTEN	SPOP	psi-mi:"MI:0004"(affinity chromatography technology)	Guo ZQ (2016)	pubmed:27622336
CHD4	PARP1	psi-mi:"MI:0096"(pull down)	Silva AP (2016)	pubmed:26565020
RNF4	MYC	psi-mi:"MI:0096"(pull down)	Thomas JJ (2016)	pubmed:27653698
RNF4	CTNNB1	psi-mi:"MI:0096"(pull down)	Thomas JJ (2016)	pubmed:27653698
MDM2	MDM2	psi-mi:"MI:0415"(enzymatic study)	Fan C (2017)	pubmed:28166445
MDM2	TP53	psi-mi:"MI:0004"(affinity chromatography technology)	Singh AK (2016)	pubmed:27543608
COPS2	COPS5	psi-mi:"MI:0096"(pull down)	Scherer PC (2016)	pubmed:26976604
RELA	NFKBIA	psi-mi:"MI:0004"(affinity chromatography technology)	Jiang GM (2017)	pubmed:27923823
TRIP12	USP7	psi-mi:"MI:0004"(affinity chromatography technology)	Liu X (2016)	pubmed:27800609
USP7	TRIP12	psi-mi:"MI:0004"(affinity chromatography technology)	Liu X (2016)	pubmed:27800609
UBE2S	UBE2S	psi-mi:"MI:0415"(enzymatic study)	Lim JH (2016)	pubmed:27685940
UBE2S	UBE2S	psi-mi:"MI:0096"(pull down)	Lim JH (2016)	pubmed:27685940
UBE2S	VHL	psi-mi:"MI:0096"(pull down)	Lim JH (2016)	pubmed:27685940
VHL	UBE2S	psi-mi:"MI:0096"(pull down)	Lim JH (2016)	pubmed:27685940
UBE2S	VHL	psi-mi:"MI:0415"(enzymatic study)	Lim JH (2016)	pubmed:27685940
UBE2S	VHL	psi-mi:"MI:0004"(affinity chromatography technology)	Lim JH (2016)	pubmed:27685940
MDM2	GTF2I	psi-mi:"MI:0004"(affinity chromatography technology)	Cetkovska K (2015)	pubmed:26656605
GTF2I	MDM2	psi-mi:"MI:0004"(affinity chromatography technology)	Cetkovska K (2015)	pubmed:26656605
FBXW7	STAT3	psi-mi:"MI:0004"(affinity chromatography technology)	Yao S (2017)	pubmed:28069035
STAT3	FBXW7	psi-mi:"MI:0004"(affinity chromatography technology)	Yao S (2017)	pubmed:28069035
VCP	NPLOC4	psi-mi:"MI:0096"(pull down)	Guo X (2017)	pubmed:27913212
HDAC1	CHD4	psi-mi:"MI:0004"(affinity chromatography technology)	Weiss K (2016)	pubmed:27616479
RNF20	TPM3	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
RNF20	RPS3	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
RNF20	RNF40	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
RNF20	KIF11	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
RNF20	HNRNPF	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
RNF40	KIF11	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
KIF11	RNF20	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
KIF11	RNF40	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
KIF11	RNF20	psi-mi:"MI:0096"(pull down)	Duan Y (2016)	pubmed:27557628
KIF11	RNF40	psi-mi:"MI:0096"(pull down)	Duan Y (2016)	pubmed:27557628
RNF40	RNF20	psi-mi:"MI:0004"(affinity chromatography technology)	Duan Y (2016)	pubmed:27557628
RNF40	KIF11	psi-mi:"MI:0415"(enzymatic study)	Duan Y (2016)	pubmed:27557628
RNF20	KIF11	psi-mi:"MI:0415"(enzymatic study)	Duan Y (2016)	pubmed:27557628
DDX58	TRIM25	psi-mi:"MI:0004"(affinity chromatography technology)	Hu Y (2017)	pubmed:28148787
DDX58	TRIM25	psi-mi:"MI:0428"(imaging technique)	Hu Y (2017)	pubmed:28148787
CCND1	CDC27	psi-mi:"MI:0004"(affinity chromatography technology)	Pawar SA (2010)	pubmed:20439707
CDC27	CCND1	psi-mi:"MI:0004"(affinity chromatography technology)	Pawar SA (2010)	pubmed:20439707
PSMA6	PSMA6	psi-mi:"MI:0096"(pull down)	Ishii K (2015)	pubmed:26657688
PSMA7	PSMA6	psi-mi:"MI:0096"(pull down)	Ishii K (2015)	pubmed:26657688
USP7	USP7	psi-mi:"MI:0686"(unspecified method)	Rouge L (2016)	pubmed:27452404
MDM2	USP7	psi-mi:"MI:0096"(pull down)	Rouge L (2016)	pubmed:27452404
WDR48	WDR20	psi-mi:"MI:0004"(affinity chromatography technology)	Cukras S (2016)	pubmed:27463890
UHRF1	HSPA1A	psi-mi:"MI:0004"(affinity chromatography technology)	Ding G (2016)	pubmed:27489107
UHRF1	HSP90AA1	psi-mi:"MI:0004"(affinity chromatography technology)	Ding G (2016)	pubmed:27489107
HSPA1A	UHRF1	psi-mi:"MI:0004"(affinity chromatography technology)	Ding G (2016)	pubmed:27489107
HSP90AA1	UHRF1	psi-mi:"MI:0004"(affinity chromatography technology)	Ding G (2016)	pubmed:27489107
CHD4	EP300	psi-mi:"MI:0004"(affinity chromatography technology)	Qi W (2016)	pubmed:26546801
EP300	CHD4	psi-mi:"MI:0004"(affinity chromatography technology)	Qi W (2016)	pubmed:26546801
CHD4	PARP1	psi-mi:"MI:0004"(affinity chromatography technology)	Qi W (2016)	pubmed:26546801
CHD4	EP300	psi-mi:"MI:0096"(pull down)	Qi W (2016)	pubmed:26546801
SMARCA2	BRCA1	psi-mi:"MI:0004"(affinity chromatography technology)	Fontana GA (2017)	pubmed:27591253
SMARCB1	BRCA1	psi-mi:"MI:0004"(affinity chromatography technology)	Fontana GA (2017)	pubmed:27591253
MDM2	AR	psi-mi:"MI:0415"(enzymatic study)	McClurg UL (2016)	pubmed:27903893
STUB1	AR	psi-mi:"MI:0415"(enzymatic study)	McClurg UL (2016)	pubmed:27903893
UBE3A	AR	psi-mi:"MI:0415"(enzymatic study)	McClurg UL (2016)	pubmed:27903893
AR	EP300	psi-mi:"MI:0004"(affinity chromatography technology)	McClurg UL (2016)	pubmed:27903893
AR	HSP90AA1	psi-mi:"MI:0004"(affinity chromatography technology)	McClurg UL (2016)	pubmed:27903893
MDM2	AR	psi-mi:"MI:0004"(affinity chromatography technology)	McClurg UL (2016)	pubmed:27903893
TP53	USP15	psi-mi:"MI:0004"(affinity chromatography technology)	Liu WT (2016)	pubmed:27893708
USP15	TP53	psi-mi:"MI:0004"(affinity chromatography technology)	Liu WT (2016)	pubmed:27893708
MDM2	TP53	psi-mi:"MI:0096"(pull down)	Liu WT (2016)	pubmed:27893708
MDM2	USP15	psi-mi:"MI:0096"(pull down)	Liu WT (2016)	pubmed:27893708
BMI1	PHC2	psi-mi:"MI:0096"(pull down)	Gray F (2016)	pubmed:27827373
BMI1	PHC2	psi-mi:"MI:0114"(x-ray crystallography)	Gray F (2016)	pubmed:27827373
BMI1	BMI1	psi-mi:"MI:0096"(pull down)	Gray F (2016)	pubmed:27827373
PLK1	MYC	psi-mi:"MI:0415"(enzymatic study)	Xiao D (2016)	pubmed:27773673
PLK1	FBXW7	psi-mi:"MI:0004"(affinity chromatography technology)	Xiao D (2016)	pubmed:27773673
PLK1	FBXW7	psi-mi:"MI:0415"(enzymatic study)	Xiao D (2016)	pubmed:27773673
ACTG1	ACTG1	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
BMI1	PHC2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
CDC73	GOLGA2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
CDC73	MTUS2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
CDC73	TFCP2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
CDK4	CCND1	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
EMD	BANF1	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
FTL	FTL	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
HSPD1	LZTS2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
LMNA	LMNA	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF3	PHC2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF3	PSMD3	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	CDCA7L	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	GOLGA2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	HNRNPK	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	LZTS2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	MKRN3	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	MTUS2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	PDE4DIP	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	PHC2	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	RBMX	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
PRPF31	TFIP11	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
TPM3	CCHCR1	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
TPM3	MAD1L1	psi-mi:"MI:0018"(two hybrid)	Sahni N (2015)	pubmed:25910212
UHRF2	KAT5	psi-mi:"MI:0004"(affinity chromatography technology)	Zeng S (2017)	pubmed:27743347
UHRF2	HDAC1	psi-mi:"MI:0004"(affinity chromatography technology)	Zeng S (2017)	pubmed:27743347
KAT5	UHRF2	psi-mi:"MI:0004"(affinity chromatography technology)	Zeng S (2017)	pubmed:27743347
HDAC1	UHRF2	psi-mi:"MI:0004"(affinity chromatography technology)	Zeng S (2017)	pubmed:27743347
BRCA1	UIMC1	psi-mi:"MI:0428"(imaging technique)	Renaud E (2016)	pubmed:26446986
PGAM5	PGAM5	psi-mi:"MI:0004"(affinity chromatography technology)	Lenhausen AM (2016)	pubmed:27218139
PGAM5	PGAM5	psi-mi:"MI:0096"(pull down)	Lenhausen AM (2016)	pubmed:27218139
DDX5	RNF2	psi-mi:"MI:0004"(affinity chromatography technology)	Li H (2017)	pubmed:28111200
EP300	HSF1	psi-mi:"MI:0004"(affinity chromatography technology)	Huang C (2017)	pubmed:28104499
CHEK1	UBE2T	psi-mi:"MI:0415"(enzymatic study)	Lv Z (2017)	pubmed:28162934
ROCK1	UBE2T	psi-mi:"MI:0415"(enzymatic study)	Lv Z (2017)	pubmed:28162934
RPS6KA1	UBE2T	psi-mi:"MI:0415"(enzymatic study)	Lv Z (2017)	pubmed:28162934
PTEN	PLK1	psi-mi:"MI:0004"(affinity chromatography technology)	Li Z (2014)	pubmed:25047839
PLK1	PTEN	psi-mi:"MI:0415"(enzymatic study)	Li Z (2014)	pubmed:25047839
CSNK2A1	PTEN	psi-mi:"MI:0415"(enzymatic study)	Li Z (2014)	pubmed:25047839
STAT3	STMN1	psi-mi:"MI:0004"(affinity chromatography technology)	Wei Z (2013)	pubmed:23333463
HSPA4	HSP90AA1	psi-mi:"MI:0004"(affinity chromatography technology)	Seo JH (2016)	pubmed:27708256
TRIM25	UBE2N	psi-mi:"MI:0096"(pull down)	Sanchez JG (2016)	pubmed:27425606
TRIM25	UBE2D2	psi-mi:"MI:0096"(pull down)	Sanchez JG (2016)	pubmed:27425606
TRIM25	UBE2N	psi-mi:"MI:0114"(x-ray crystallography)	Sanchez JG (2016)	pubmed:27425606
TRIM25	TRIM25	psi-mi:"MI:0096"(pull down)	Sanchez JG (2016)	pubmed:27425606
EP300	TP53	psi-mi:"MI:0004"(affinity chromatography technology)	Shi D (2016)	pubmed:25867071
OTUB1	TP53	psi-mi:"MI:0415"(enzymatic study)	Fernandez-Majada V (2016)	pubmed:27561390
EP300	TP53	psi-mi:"MI:0415"(enzymatic study)	Wright DG (2016)	pubmed:26625199
FBXW7	NOTCH1	psi-mi:"MI:0004"(affinity chromatography technology)	Yeh CH (2016)	pubmed:27247421
RIPK4	RIPK4	psi-mi:"MI:0415"(enzymatic study)	Chirieleison SM (2016)	pubmed:27045108
USP11	XRCC5	psi-mi:"MI:0004"(affinity chromatography technology)	Zhou Z (2017)	pubmed:28040451
USP11	EFHD2	psi-mi:"MI:0004"(affinity chromatography technology)	Zhou Z (2017)	pubmed:28040451
PHF8	BLM	psi-mi:"MI:0004"(affinity chromatography technology)	Wang Q (2016)	pubmed:27183383
PHF8	USP7	psi-mi:"MI:0004"(affinity chromatography technology)	Wang Q (2016)	pubmed:27183383
PHF8	OGT	psi-mi:"MI:0004"(affinity chromatography technology)	Wang Q (2016)	pubmed:27183383
PHF8	HSPA8	psi-mi:"MI:0004"(affinity chromatography technology)	Wang Q (2016)	pubmed:27183383
USP7	PHF8	psi-mi:"MI:0004"(affinity chromatography technology)	Wang Q (2016)	pubmed:27183383
SIRT1	USP22	psi-mi:"MI:0004"(affinity chromatography technology)	Wang Q (2016)	pubmed:27183383
HDAC1	KDM1A	psi-mi:"MI:0004"(affinity chromatography technology)	Wang Q (2016)	pubmed:27183383
PHF8	USP7	psi-mi:"MI:0096"(pull down)	Wang Q (2016)	pubmed:27183383
USP7	PHF8	psi-mi:"MI:0415"(enzymatic study)	Wang Q (2016)	pubmed:27183383
UBE3A	CTNNB1	psi-mi:"MI:0415"(enzymatic study)	Kuslansky Y (2016)	pubmed:27902311
UBE3A	UBE2D2	psi-mi:"MI:0096"(pull down)	Kuslansky Y (2016)	pubmed:27902311
CTNNB1	UBE3A	psi-mi:"MI:0004"(affinity chromatography technology)	Kuslansky Y (2016)	pubmed:27902311
CTNNB1	APC	psi-mi:"MI:0004"(affinity chromatography technology)	Kuslansky Y (2016)	pubmed:27902311
KDM1B	KDM1B	psi-mi:"MI:0415"(enzymatic study)	Yang Y (2015)	pubmed:25773598
KDM1B	OGT	psi-mi:"MI:0415"(enzymatic study)	Yang Y (2015)	pubmed:25773598
KDM1B	OGT	psi-mi:"MI:0004"(affinity chromatography technology)	Yang Y (2015)	pubmed:25773598
OGT	KDM1B	psi-mi:"MI:0004"(affinity chromatography technology)	Yang Y (2015)	pubmed:25773598
MDM2	FKBP1A	psi-mi:"MI:0004"(affinity chromatography technology)	Liu T (2017)	pubmed:27617579
FKBP1A	MDM2	psi-mi:"MI:0004"(affinity chromatography technology)	Liu T (2017)	pubmed:27617579
