"","Aural Anomalies","Cerebral Anomalies","Ciliopathy","Coronary and Vascular Anomalies","Digestive Anomalies","Facial Anomalies","Hormonal Anomalies","Liver Anomalies","Nasal Anomalies","Neural Anomalies","Ophthalmic Anomalies","Organ Anomalies","Others","Renal Anomalies","Reproductive Anomalies","Respiratory Anomalies","Skeletal Anomalies","type_ciliopathy","Human.Gene.Name","Subcellular.Localization"
"48","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","TTC21B","1"
"49","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","SCLT1","0"
"50","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","IFT81","1"
"51","0","1","bazex.dupré.christol.syndrome","1","0","1","1","1","0","1","1","1","0","0","1","0","1","Primary","ACTRT1","0"
"52","0","1","biliary..renal..neurologic..and.skeletal.syndrome","1","0","1","1","1","0","0","1","1","0","0","0","0","1","Primary","TTC26","1"
"53","0","0","caroli.disease","0","0","0","1","1","0","0","0","0","0","0","0","0","0","Primary","PKHD1","0"
"54","1","1","cranioectodermal.dysplasia","1","0","1","1","0","1","0","0","1","0","0","0","0","1","Primary","IFT122","1"
"55","1","1","cranioectodermal.dysplasia","1","0","1","1","0","1","0","0","1","0","0","0","0","1","Primary","WDR35","0"
"56","1","1","cranioectodermal.dysplasia","1","0","1","1","0","1","0","0","1","0","0","0","0","1","Primary","IFT43","0"
"57","1","1","cranioectodermal.dysplasia","1","0","1","1","0","1","0","0","1","0","0","0","0","1","Primary","WDR19","1"
"58","1","1","cranioectodermal.dysplasia","1","0","1","1","0","1","0","0","1","0","0","0","0","1","Primary","IFT52","0"
"59","1","1","cranioectodermal.dysplasia","1","0","1","1","0","1","0","0","1","0","0","0","0","1","Primary","IFT140","1"
"60","0","1","coach.syndrome","0","0","0","1","0","0","0","1","0","1","0","0","0","0","Primary","TMEM67","1"
"61","0","1","coach.syndrome","0","0","0","1","0","0","0","1","0","1","0","0","0","0","Primary","CC2D2A","1"
"62","0","1","coach.syndrome","0","0","0","1","0","0","0","1","0","1","0","0","0","0","Primary","RPGRIP1L","1"
"63","0","1","coach.syndrome","0","0","0","1","0","0","0","1","0","1","0","0","0","0","Primary","PMM2","0"
"64","0","0","ellis.van.creveld.syndrome","1","0","1","1","0","0","0","0","0","0","0","0","1","1","Primary","EVC","1"
"65","0","0","ellis.van.creveld.syndrome","1","0","1","1","0","0","0","0","0","0","0","0","1","1","Primary","EVC2","1"
"66","0","1","greig.cephalopolysyndactyly.syndrome","0","0","1","1","0","0","1","1","1","1","0","0","0","1","Primary","GLI3","1"
"67","0","1","hydrolethalus.syndrome","1","0","1","0","0","0","1","0","1","0","0","0","1","1","Primary","HYLS1","0"
"68","0","1","hydrolethalus.syndrome","1","0","1","0","0","0","1","0","1","0","0","0","1","1","Primary","KIF7","1"
"69","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","INPP5E","1"
"70","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TMEM216","1"
"71","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","AHI1","1"
"72","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","NPHP1","1"
"73","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CEP290","1"
"74","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TMEM67","1"
"75","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","RPGRIP1L","1"
"76","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","ARL13B","1"
"77","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CC2D2A","1"
"78","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","OFD1","1"
"79","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TTC21B","1"
"80","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","KIF7","1"
"81","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TCTN1","1"
"82","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TMEM237","1"
"83","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CEP41","1"
"84","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TMEM138","1"
"85","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CPLANE1","1"
"86","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TCTN3","1"
"87","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","ZNF423","0"
"88","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TMEM231","1"
"89","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CSPP1","1"
"90","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","PDE6D","0"
"91","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","KIAA0586","0"
"92","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TCTN2","1"
"93","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CEP104","1"
"94","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","KATNIP","0"
"95","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","B9D1","1"
"96","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","MKS1","1"
"97","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TMEM107","1"
"98","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","ARMC9","1"
"99","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CEP120","0"
"100","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","SUFU","1"
"101","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","PIBF1","0"
"102","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","B9D2","1"
"103","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","ARL3","1"
"104","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","FAM149B1","1"
"105","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TOGARAM1","1"
"106","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","KIAA0753","0"
"107","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TMEM218","1"
"108","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","IFT74","1"
"109","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CBY1","0"
"110","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","CC2D1A","0"
"111","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","LRRCC1","0"
"112","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","ADAMTS9","1"
"113","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","LAMA1","2"
"114","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","TOPORS","0"
"115","0","0","joubert.syndrome","0","0","1","1","1","0","0","1","0","1","1","0","1","1","Primary","RNU4ATAC","0"
"116","0","1","kallmann.syndrome","0","1","0","0","0","0","0","1","1","1","0","1","0","0","Primary","WDR11","1"
"117","0","0","mckusick.kaufman.syndrome","1","0","0","1","0","0","0","0","0","0","0","0","0","1","Primary","MKKS","0"
"118","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","MKS1","1"
"119","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TMEM216","0"
"120","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TMEM67","1"
"121","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","CEP290","1"
"122","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","RPGRIP1L","1"
"123","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","CC2D2A","1"
"124","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","NPHP3","1"
"125","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TCTN2","1"
"126","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","B9D1","1"
"127","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","B9D2","1"
"128","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TMEM231","1"
"129","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","KIF14","1"
"130","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TMEM107","1"
"131","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TMEM218","1"
"132","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","CEP55","0"
"133","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TCTN3","1"
"134","0","1","meckel.gruber.syndrome","1","0","1","0","1","0","0","0","1","0","1","1","0","1","Primary","TXNDC15","0"
"135","0","0","morbid.obesity.and.spermatogenic.failure","1","1","0","1","1","0","0","0","0","0","0","1","0","0","Primary","CEP19","0"
"136","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","NPHP1","1"
"137","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","INVS","1"
"138","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","NPHP3","1"
"139","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","NPHP4","1"
"140","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","GLIS2","1"
"141","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","NEK8","1"
"142","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","TMEM67","1"
"143","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","TTC21B","1"
"144","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","WDR19","1"
"145","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","ZNF423","0"
"146","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","CEP164","1"
"147","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","ANKS6","1"
"148","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","CEP83","1"
"149","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","DCDC2","1"
"150","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","MAPKBP1","0"
"151","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","XPNPEP3","0"
"152","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","CC2D2A","1"
"153","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","ADAMTS9","1"
"154","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","SDCCAG8","1"
"155","0","1","nephronophthisis","1","0","0","1","1","0","0","1","1","1","0","0","1","1","Primary","CEP290","1"
"156","0","1","complex.lethal.osteochondrodysplasia","0","1","0","1","0","0","0","1","0","0","1","1","0","1","Primary","TAPT1","0"
"157","0","0","lowe.oculocerebrorenal.syndrome","0","0","0","1","0","0","0","1","0","1","1","0","0","0","Primary","OCRL","1"
"158","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","OFD1","1"
"159","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","TCTN3","1"
"160","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","DDX59","0"
"161","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","CPLANE1","1"
"162","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","C2CD3","0"
"163","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","KIAA0753","0"
"164","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","TMEM107","1"
"165","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","INTU","0"
"166","1","1","orofaciodigital.syndrome","1","0","1","0","0","0","0","1","0","0","0","0","0","1","Primary","IFT57","1"
"167","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAI1","2"
"168","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAAF3","0"
"169","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAH5","1"
"170","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","HYDIN","1"
"171","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","NME8","1"
"172","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAH11","1"
"173","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAI2","1"
"174","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAAF2","0"
"175","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","RSPH4A","1"
"176","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","RSPH9","1"
"177","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAAF1","0"
"178","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CCDC39","1"
"179","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CCDC40","1"
"180","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAL1","0"
"181","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CCDC103","1"
"182","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAAF5","1"
"183","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","LRRC6","1"
"184","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","ODAD1","1"
"185","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DRC1","2"
"186","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","ZMYND10","1"
"187","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","ODAD2","1"
"188","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","RSPH1","1"
"189","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAAF4","1"
"190","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CFAP298","2"
"191","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CCDC65","1"
